16
0 1 2
0 2 19
0 10 19
0 12 17
0 14 19
1 2 11
1 3 16
1 5 18
1 6 4
1 8 20
1 9 8
1 12 3
1 14 5
2 1 14
2 4 15
2 7 2
2 8 16
2 14 15
3 1 1
3 4 19
3 5 11
3 6 14
3 7 4
3 8 20
3 12 1
3 14 10
4 1 20
4 2 4
4 3 17
4 7 19
4 8 4
4 12 1
4 13 5
4 15 18
5 0 20
5 1 6
5 2 9
5 3 10
5 7 14
5 10 11
5 11 11
5 13 13
5 15 5
6 1 1
6 7 20
6 8 18
6 11 2
6 12 6
6 14 4
7 3 20
7 9 16
7 11 14
7 12 3
7 13 7
8 0 19
8 3 12
8 4 15
8 6 9
8 10 7
8 13 3
8 14 9
9 6 1
9 12 8
9 14 11
9 15 12
10 0 14
10 2 8
10 4 7
10 9 12
10 11 2
10 13 15
11 0 1
11 1 5
11 2 11
11 3 17
11 6 15
11 9 4
11 12 4
11 13 17
11 15 1
12 0 11
12 1 1
12 3 11
12 4 5
12 7 18
12 9 6
13 1 9
13 2 5
13 4 15
13 6 5
13 8 10
13 11 5
13 14 5
14 1 2
14 4 18
14 5 17
14 8 15
14 12 11
14 13 10
15 1 19
15 5 14
15 7 13
15 8 3
15 9 9
15 12 3
15 13 18
15 14 4
